potential,method,dt,steps,first_self_intersection_step,first_self_intersection_time,max_one_step_energy_increase,final_H,max_self_intersections,final_self_intersections,area_ratio,final_knot_interval_min,final_knot_interval_max,final_knot_interval_ratio,final_state_norm
sinkhorn,canonical_semi_implicit,0.05,100,,,-0.00020330602293394673,0.759514161596305,0,0,1.1061068769691997,0.5958836123121113,0.6494934195273997,1.0899669098253515,
sinkhorn,learned_pht_explicit_euler,0.05,100,4.0,0.2,0.9061809132658283,15.217189886392147,8,6,2.0647764803111985,0.27409405632057876,0.6914642830278539,2.522726294433475,7.730416175310911
sinkhorn,canonical_semi_implicit,0.02,250,,,-3.253794722835046e-05,0.7600349257959887,0,0,1.1055174421560148,0.5963968146195274,0.6497514645777174,1.0894616615151234,
sinkhorn,learned_pht_explicit_euler,0.02,250,10.0,0.2,0.03569787427622584,0.08883686099243128,9,5,0.7072394298060402,3.2845179322199344e-05,0.00026311749610752566,8.01084060240433,40.237954498053156
sinkhorn,canonical_semi_implicit,0.01,500,,,-8.134807639947894e-06,0.760208712506403,0,0,1.1053207595849346,0.5965681206988316,0.6498375014814274,1.0892930395278162,
sinkhorn,learned_pht_explicit_euler,0.01,500,20.0,0.2,0.008862181638951139,0.030378721855088817,5,5,0.7108779654293024,7.631972391026733e-05,0.0005704026880179741,7.473856806513389,36.890010763017976
sliced_wasserstein,canonical_semi_implicit,0.05,100,,,-0.000161475368520958,0.6578409300234865,0,0,1.0431099230077552,0.6117351990617717,0.6518304444816734,1.06554346632562,
sliced_wasserstein,learned_pht_explicit_euler,0.05,100,5.0,0.25,0.7353250652951484,10.86271443455693,9,9,1.1815512880751649,0.12993538272353847,0.2968576357802322,2.2846558770820082,8.31197643772629
sliced_wasserstein,canonical_semi_implicit,0.02,250,,,-2.5802856078560588e-05,0.6582033728883576,0,0,1.0428475945142168,0.6121610574830985,0.6520728503602619,1.0651981899032599,
sliced_wasserstein,learned_pht_explicit_euler,0.02,250,11.0,0.22,0.029481030366689698,0.0298511027952654,9,7,0.6353327546327492,1.3231435285579248e-05,0.00015075899444882556,11.394001572386907,43.535446447739645
sliced_wasserstein,canonical_semi_implicit,0.01,500,,,-6.4423689978276855e-06,0.6583244254200588,0,0,1.0427600099898275,0.6123046156084281,0.652152964523222,1.0650792888033318,
sliced_wasserstein,learned_pht_explicit_euler,0.01,500,22.0,0.22,0.007310012320830062,0.020440839790041784,7,7,0.635092059240446,3.2217043347032784e-05,0.00031944738267581247,9.91547794236785,40.048054931816175
