H,H_controller,J_res_norm,J_skew_error,R_config_block_norm,R_max_eig,R_min_eig,R_momentum_max,R_momentum_min,R_trace,T,V,chamfer,conservative_power,controller_dissipation,curve_area,curve_length,curve_to_target_mean,gamma_force_norm,gamma_max,gamma_min,gamma_speed_norm,gamma_stack_count,grad_norm,hausdorff,knot_floor_count,knot_gate,knot_interval_max,knot_interval_min,knot_interval_ratio,knot_period,max_discrete_curvature,measured_dHdt,p_gamma_norm,p_q_norm,plant_dissipation,power_balance_error,predicted_dHdt,q_force_max,q_force_norm,q_speed_max,q_speed_norm,self_intersections,step,t,target_to_curve_mean,total_dissipation
0.7229374647140503,0.0,167.86410522460938,0.0,7.778744697570801,2.071669578552246,0.1359599381685257,2.0546767711639404,0.19299177825450897,80.82452392578125,0.0,0.7229374647140503,0.1294819861650467,-5.587935447692871e-09,0.003161883680149913,1.129109501838684,3.768317699432373,0.2878631055355072,0.10944325476884842,0.0,0.0,6.853192329406738,0,0.14480574429035187,0.9085493683815002,0,1.0,0.6931471824645996,0.6931471824645996,1.0,12.476649284362793,1.6763702630996704,1.3209700584411903,0.0,0.0,0.01991158351302147,1.3440435305238052,-0.0230734720826149,0.025868015363812447,0.09482024610042572,1.740104079246521,6.543787479400635,0.0,0,0.0,0.28969115018844604,0.02307346649467945
0.7295423150062561,0.0,167.94705200195312,0.0,7.782334327697754,2.0726425647735596,0.1359599381685257,2.0556235313415527,0.19299177825450897,80.85633850097656,0.006716697011142969,0.7228256464004517,0.13262727856636047,2.9802322387695312e-08,0.02905467338860035,1.1156296730041504,3.745819568634033,0.29221105575561523,0.10909942537546158,-0.002045505680143833,-0.011375543661415577,29.511398315429688,0,0.3687840402126312,0.9072177410125732,0,1.0,0.6921249628067017,0.6874755620956421,1.006762981414795,12.409317016601562,1.7895324230194092,1.11104249954226,0.033575501292943954,0.04647848382592201,0.22126716375350952,1.3613643050194024,-0.25032180547714233,0.025906706228852272,0.09595459699630737,1.4795454740524292,4.7671027183532715,0.0,1,0.005,0.29447126388549805,0.2503218352794647
0.7340478897094727,0.0,168.01426696777344,0.0,7.78523588180542,2.0734293460845947,0.1359599381685257,2.056391477584839,0.19299177825450897,80.882080078125,0.0245982576161623,0.7094496488571167,0.13429707288742065,-1.1920928955078125e-07,0.09805235266685486,1.1064121723175049,3.7308027744293213,0.2949449121952057,0.10746457427740097,-0.030170641839504242,-0.05025255307555199,50.54970932006836,0,0.6650983095169067,0.905055820941925,0,1.0,0.6781756281852722,0.6683365702629089,1.0147217512130737,12.101744651794434,2.1027071475982666,0.5164623260498157,0.06430458277463913,0.0885760635137558,0.7585103511810303,1.3730251789093129,-0.8565628528594971,0.02630883827805519,0.09722880274057388,2.6118180751800537,5.144751071929932,0.0,2,0.01,0.29721611738204956,0.8565627336502075
0.7347069382667542,0.0,168.0634002685547,0.0,7.787346363067627,2.0740020275115967,0.1359599381685257,2.056953191757202,0.19299177825450897,80.90087127685547,0.05027611553668976,0.6844308376312256,0.13454903662204742,-2.9802322387695312e-08,0.1973012387752533,1.1011638641357422,3.7240188121795654,0.29598450660705566,0.10459716618061066,-0.08225944638252258,-0.11425724625587463,69.48397064208984,0,0.9396266937255859,0.9022278189659119,0,1.0,0.6528630256652832,0.6376495361328125,1.023858666419983,11.585992813110352,2.6319339275360107,-0.3701329231262286,0.09200353175401688,0.12611795961856842,1.5320247411727905,1.3591930866241375,-1.7293260097503662,0.02656140923500061,0.0979134663939476,3.918321371078491,7.003585338592529,0.0,3,0.015,0.29792559146881104,1.7293260097503662
0.7303465604782104,0.0,168.09616088867188,0.0,7.788744926452637,2.0743818283081055,0.1359599381685257,2.057328224182129,0.19299177825450897,80.91336059570312,0.0805143415927887,0.6498322486877441,0.13348306715488434,-2.9802322387695312e-08,0.3144134283065796,1.0994553565979004,3.726726531982422,0.2953919768333435,0.10061812400817871,-0.15595799684524536,-0.20078647136688232,86.18840026855469,0,1.1843271255493164,0.8990200757980347,0,1.0,0.6182054281234741,0.5977848768234253,1.0341603755950928,10.902437210083008,3.396540641784668,-1.438200473785431,0.11651749908924103,0.15895098447799683,2.4453275203704834,1.3215403556823424,-2.7597408294677734,0.02663002349436283,0.09802176803350449,5.110278606414795,9.234037399291992,0.0,4,0.02,0.29670265316963196,2.7597408294677734
0.7203249335289001,0.0,168.11630249023438,0.0,7.7895989418029785,2.074613571166992,0.1359599381685257,2.0575599670410156,0.19299177825450897,80.92103576660156,0.11236859858036041,0.6079563498497009,0.13125857710838318,-8.940696716308594e-08,0.438067227602005,1.1007499694824219,3.740469217300415,0.2933807373046875,0.09567412734031677,-0.24878570437431335,-0.30711784958839417,100.6014633178711,0,1.3968887329101562,0.8958001136779785,0,1.0,0.5764712691307068,0.551332414150238,1.0455965995788574,10.095748901367188,4.397084712982178,-2.585864067077692,0.1377551257610321,0.18700921535491943,3.410080909729004,1.2622840404509947,-3.8481481075286865,0.026471925899386406,0.09759314358234406,6.1627421379089355,11.401914596557617,0.0,5,0.025,0.29370927810668945,3.8481481075286865
0.7044879198074341,0.0,168.12796020507812,0.0,7.7900848388671875,2.0747458934783936,0.1359599381685257,2.0576937198638916,0.19299177825450897,80.92543029785156,0.14331549406051636,0.5611724257469177,0.12809360027313232,5.662441253662109e-07,0.5585153698921204,1.1044466495513916,3.7667837142944336,0.29036736488342285,0.089973084628582,-0.35819146037101746,-0.43047016859054565,112.70045471191406,0,1.5765913724899292,0.8929769992828369,0,1.0,0.53000408411026,0.500898540019989,1.0581066608428955,9.211396217346191,5.576940536499023,-3.724962472915729,0.15569134056568146,0.21031659841537476,4.350207805633545,1.1837604045867125,-4.908722877502441,0.02613038942217827,0.09660661965608597,7.066932201385498,13.361602783203125,0.0,6,0.03,0.289228618144989,4.9087233543396
0.6830753087997437,0.0,168.13424682617188,0.0,7.79034423828125,2.0748167037963867,0.1359599381685257,2.0577666759490967,0.19299177825450897,80.92780303955078,0.17131617665290833,0.5117591023445129,0.12421976774930954,-5.364418029785156e-07,0.6678445935249329,1.109928846359253,3.8068299293518066,0.28684142231941223,0.08372430503368378,-0.4815908968448639,-0.5680450797080994,122.50931549072266,0,1.7235277891159058,0.890964150428772,0,1.0,0.48106706142425537,0.4489281475543976,1.0715903043746948,8.292533874511719,6.780733585357666,-4.784923791885478,0.17035464942455292,0.22896571457386017,5.203927516937256,1.0868489742278031,-5.871772766113281,0.025686347857117653,0.09509237110614777,7.82056999206543,15.057854652404785,0.0,7,0.035,0.28354114294052124,5.871772289276123
0.6566386818885803,0.0,168.13755798339844,0.0,7.790474891662598,2.074852466583252,0.1359599381685257,2.057805061340332,0.19299177825450897,80.92902374267578,0.19487422704696655,0.46176445484161377,0.11986370384693146,2.384185791015625e-07,0.7602148652076721,1.1165947914123535,3.861029624938965,0.28301239013671875,0.07717152684926987,-0.6164161562919617,-0.7170844078063965,130.1007537841797,0,1.8385101556777954,0.8901442289352417,0,1.0,0.43170177936553955,0.39754951000213623,1.085906982421875,7.377264976501465,8.127482414245605,-5.712544918060424,0.18183450400829315,0.24312664568424225,5.925624370574951,0.9732937812803959,-6.68583869934082,0.02517780102789402,0.09313953667879105,8.424821853637695,16.467632293701172,0.0,8,0.04,0.2768922448158264,6.6858391761779785
0.6259498596191406,0.0,168.13912963867188,0.0,7.790536403656006,2.074869394302368,0.1359599381685257,2.057823657989502,0.19299177825450897,80.92961120605469,0.21306027472019196,0.4128895699977875,0.11525627225637436,2.384185791015625e-07,0.8319594264030457,1.1238771677017212,3.928880214691162,0.2790263593196869,0.0705251395702362,-0.7601715326309204,-0.8749266862869263,135.58914184570312,0,1.9230448007583618,0.8908386826515198,0,1.0,0.3836190104484558,0.348466157913208,1.1008788347244263,6.496645450592041,9.99096393585205,-6.469875574112076,0.19028505682945251,0.25305432081222534,6.486638069152832,0.848721265792709,-7.318596839904785,0.02446109615266323,0.0908336192369461,8.88308048248291,17.580713272094727,0.0,9,0.045,0.2694442868232727,7.318597316741943
